Time (ms),Name,Value
3854545,"error","789.0"
3854545,"elevator height","-161.0"
3854645,"error","752.0"
3854645,"elevator height","-198.0"
3854746,"error","719.0"
3854746,"elevator height","-231.0"
3854846,"error","697.0"
3854846,"elevator height","-253.0"
3854946,"error","692.0"
3854946,"elevator height","-258.0"
3855346,"error","693.0"
3855347,"elevator height","-257.0"
4067649,"elevator height","-257.0"
4067649,"error","693.0"
4067650,"is terminated","true"
4067650,"mode","periodic"
4067650,"PID output","-0.09724999964237213"
4084984,"mode","init"
4085486,"error","962.0"
4085486,"PID output","-0.09619999676942825"
4085486,"elevator height","12.0"
4085487,"mode","periodic"
4141448,"elevator height","12.0"
4141448,"error","962.0"
4141448,"is terminated","true"
4141448,"mode","periodic"
4141448,"PID output","-0.09619999676942825"
4157775,"mode","init"
4158400,"error","930.0"
4158401,"PID output","-0.09299999475479126"
